epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1221,1.32315,3.13787,1.39488,0.00673,0.79419,0.15835,0.0934,1.00589,3.28585,1.24022,0.00010002,0.00010002,0.00010002
2,94.6114,1.16234,2.74355,1.35296,0.00762,0.88845,0.32656,0.21572,1.02197,3.24436,1.22822,0.000145196,0.000145196,0.000145196
3,141.194,1.26364,2.30835,1.37016,0.00792,0.90095,0.36455,0.24092,1.01334,3.17098,1.23251,0.000113356,0.000113356,0.000113356
